The Shawshank Redemption;9.2;1994
The Godfather;9.1;1972
The Godfather: Part II;9.0;1974
Il buono, il brutto, il cattivo;8.9;1966
Pulp Fiction;8.9;1994
Inception;8.9;2010
Schindler's List;8.9;1993
12 Angry Men;8.9;1957
One Flew Over the Cuckoo's Nest;8.8;1975
The Dark Knight;8.8;2008
Star Wars: Episode V - The Empire Strikes Back;8.8;1980
The Lord of the Rings: The Return of the King;8.8;2003
Shichinin no samurai;8.8;1954
Star Wars;8.7;1977
Goodfellas;8.7;1990
Casablanca;8.7;1942
Fight Club;8.7;1999
Cidade de Deus;8.7;2002
The Lord of the Rings: The Fellowship of the Ring;8.7;2001
Rear Window;8.7;1954
C'era una volta il West;8.7;1968
Raiders of the Lost Ark;8.7;1981
Toy Story 3;8.7;2010
Psycho;8.7;1960
The Usual Suspects;8.7;1995
The Matrix;8.7;1999
The Silence of the Lambs;8.6;1991
Se7en;8.6;1995
Memento;8.6;2000
It's a Wonderful Life;8.6;1946
The Lord of the Rings: The Two Towers;8.6;2002
Sunset Blvd.;8.6;1950
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;8.6;1964
Forrest Gump;8.6;1994
Léon;8.6;1994
Citizen Kane;8.6;1941
Apocalypse Now;8.6;1979
North by Northwest;8.6;1959
American Beauty;8.6;1999
American History X;8.5;1998
Taxi Driver;8.5;1976
Terminator 2: Judgment Day;8.5;1991
Saving Private Ryan;8.5;1998
Vertigo;8.5;1958
Le fabuleux destin d'Amélie Poulain;8.5;2001
Alien;8.5;1979
WALL-E;8.5;2008
Lawrence of Arabia;8.5;1962
The Shining;8.5;1980
Sen to Chihiro no kamikakushi;8.5;2001
Paths of Glory;8.5;1957
A Clockwork Orange;8.5;1971
Double Indemnity;8.5;1944
To Kill a Mockingbird;8.5;1962
The Pianist;8.5;2002
Das Leben der Anderen;8.4;2006
The Departed;8.4;2006
M;8.4;1931
City Lights;8.4;1931
Aliens;8.4;1986
Eternal Sunshine of the Spotless Mind;8.4;2004
Requiem for a Dream;8.4;2000
Das Boot;8.4;1981
The Third Man;8.4;1949
L.A. Confidential;8.4;1997
Reservoir Dogs;8.4;1992
Chinatown;8.4;1974
The Treasure of the Sierra Madre;8.4;1948
Modern Times;8.4;1936
Monty Python and the Holy Grail;8.4;1975
La vita e bella;8.4;1997
Back to the Future;8.4;1985
The Prestige;8.4;2006
El laberinto del fauno;8.4;2006
Raging Bull;8.4;1980
Nuovo Cinema Paradiso;8.3;1988
Singin' in the Rain;8.3;1952
Some Like It Hot;8.3;1959
The Bridge on the River Kwai;8.3;1957
Rashomon;8.3;1950
All About Eve;8.3;1950
Amadeus;8.3;1984
Once Upon a Time in America;8.3;1984
The Green Mile;8.3;1999
Full Metal Jacket;8.3;1987
Inglourious Basterds;8.3;2009
2001: A Space Odyssey;8.3;1968
The Great Dictator;8.3;1940
Braveheart;8.3;1995
Ladri di biciclette;8.3;1948
The Apartment;8.3;1960
Up;8.3;2009
Der Untergang;8.3;2004
Gran Torino;8.3;2008
Metropolis;8.3;1927
The Sting;8.3;1973
Gladiator;8.3;2000
The Maltese Falcon;8.3;1941
Unforgiven;8.3;1992
Sin City;8.3;2005
The Elephant Man;8.3;1980
Mr. Smith Goes to Washington;8.3;1939
Oldeuboi;8.3;2003
On the Waterfront;8.3;1954
Indiana Jones and the Last Crusade;8.3;1989
Star Wars: Episode VI - Return of the Jedi;8.3;1983
Rebecca;8.3;1940
The Great Escape;8.3;1963
Die Hard;8.3;1988
Batman Begins;8.3;2005
Mononoke-hime;8.3;1997
Jaws;8.2;1975
Hotel Rwanda;8.2;2004
Slumdog Millionaire;8.2;2008
Det sjunde inseglet;8.2;1957
Blade Runner;8.2;1982
Fargo;8.2;1996
No Country for Old Men;8.2;2007
Heat;8.2;1995
The General;8.2;1926
The Wizard of Oz;8.2;1939
Touch of Evil;8.2;1958
Per qualche dollaro in piu;8.2;1965
Ran;8.2;1985
Yojinbo;8.2;1961
District 9;8.2;2009
The Sixth Sense;8.2;1999
Snatch.;8.2;2000
Donnie Darko;8.2;2001
Annie Hall;8.2;1977
Witness for the Prosecution;8.2;1957
Smultronst√§llet;8.2;1957
The Deer Hunter;8.2;1978
Avatar;8.2;2009
The Social Network;8.2;2010
Cool Hand Luke;8.2;1967
Strangers on a Train;8.2;1951
High Noon;8.2;1952
The Big Lebowski;8.2;1998
Hotaru no haka;8.2;1988
Kill Bill: Vol. 1;8.2;2003
It Happened One Night;8.2;1934
Platoon;8.2;1986
The Lion King;8.2;1994
Into the Wild;8.2;2007
There Will Be Blood;8.2;2007
Notorious;8.1;1946
Million Dollar Baby;8.1;2004
Toy Story;8.1;1995
Butch Cassidy and the Sundance Kid;8.1;1969
Gone with the Wind;8.1;1939
Sunrise: A Song of Two Humans;8.1;1927
The Wrestler;8.1;2008
The Manchurian Candidate;8.1;1962
Trainspotting;8.1;1996
Ben-Hur;8.1;1959
Scarface;8.1;1983
The Grapes of Wrath;8.1;1940
The Graduate;8.1;1967
The Big Sleep;8.1;1946
Groundhog Day;8.1;1993
Life of Brian;8.1;1979
The Gold Rush;8.1;1925
The Bourne Ultimatum;8.1;2007
Amores perros;8.1;2000
Finding Nemo;8.1;2003
The Terminator;8.1;1984
Stand by Me;8.1;1986
How to Train Your Dragon;8.1;2010
The Best Years of Our Lives;8.1;1946
Lock, Stock and Two Smoking Barrels;8.1;1998
The Thing;8.1;1982
The Kid;8.1;1921
V for Vendetta;8.1;2006
Casino;8.1;1995
Twelve Monkeys;8.1;1995
Dog Day Afternoon;8.1;1975
Ratatouille;8.1;2007
El secreto de sus ojos;8.1;2009
Gandhi;8.1;1982
Star Trek;8.1;2009
Ikiru;8.1;1952
Le salaire de la peur;8.1;1953
Les diaboliques;8.1;1955
8½;8.1;1963
The Princess Bride;8.1;1987
The Night of the Hunter;8.1;1955
Judgment at Nuremberg;8.0;1961
The Incredibles;8.0;2004
Tonari no Totoro;8.0;1988
The Hustler;8.0;1961
Good Will Hunting;8.0;1997
The Killing;8.0;1956
In Bruges;8.0;2008
The Wild Bunch;8.0;1969
Network;8.0;1976
Le scaphandre et le papillon;8.0;2007
A Streetcar Named Desire;8.0;1951
Les quatre cents coups;8.0;1959
La strada;8.0;1954
The Exorcist;8.0;1973
Children of Men;8.0;2006
Stalag 17;8.0;1953
Persona;8.0;1966
Who's Afraid of Virginia Woolf?;8.0;1966
Ed Wood;8.0;1994
Dial M for Murder;8.0;1954
La battaglia di Algeri;8.0;1966
Lat den ratte komma in;8.0;2008
All Quiet on the Western Front;8.0;1930
Big Fish;8.0;2003
Magnolia;8.0;1999
Rocky;8.0;1976
La passion de Jeanne d'Arc;8.0;1928
Kind Hearts and Coronets;8.0;1949
Fanny och Alexander;8.0;1982
Mystic River;8.0;2003
Manhattan;8.0;1979
Barry Lyndon;8.0;1975
Kill Bill: Vol. 2;8.0;2004
Mary and Max;8.0;2009
Patton;8.0;1970
Rosemary's Baby;8.0;1968
Duck Soup;8.0;1933
Festen;8.0;1998
Kick-Ass;8.0;2010
Fa yeung nin wa;8.0;2000
Letters from Iwo Jima;8.0;2006
Roman Holiday;8.0;1953
Pirates of the Caribbean: The Curse;8.0;2003
Mou gaan dou;8.0;2002
The Truman Show;8.0;1998
Crash;8.0;2004
Hauru no ugoku shiro;8.0;2004
His Girl Friday;8.0;1940
Arsenic and Old Lace;8.0;1944
Harvey;8.0;1950
Le notti di Cabiria;8.0;1957
Trois couleurs: Rouge;8.0;1994
The Philadelphia Story;8.0;1940
A Christmas Story;8.0;1983
Sleuth;8.0;1972
King Kong;8.0;1933
Bom yeoreum gaeul gyeoul geurigo bom;8.0;2003
Rope;8.0;1948
Monsters, Inc.;8.0;2001
Tenku no shiro Rapyuta;8.0;1986
Yeopgijeogin geunyeo;8.0;2001
Mulholland Dr.;8.0;2001
The Man Who Shot Liberty Valance;8.0;1962